hub,measure,year,unit,value,source,comment,version
United Kingdom,CrossBorderWealth,2025,US$tn,1.0,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, booking-centre narrative (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)","Primary BCG PDF: 'In the UK, cross-border wealth grew 7.0% to around $1 trillion in 2025'. BCG's own wording is 'around', so treat as approximate",20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2020,US$tn,n/r,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)",n/r — UAE appears 6th in BCG's 2020 ranking but the stacked exhibit could not be resolved to a single UAE value with confidence (two adjacent 0.5 tokens for UAE and Channel Islands). Not retrieved rather than guessed,20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2021,US$tn,n/r,"BCG Global Wealth Report 2022, Jul 2022 — secondary transcription only (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)","n/r — secondary transcription reads 0.6 for 2021, which sits above BCG GWR 2023's own 2022 reading of 0.5 for a centre BCG describes as the fastest-growing that year. Contradiction unresolved, so left n/r",20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2022,US$tn,0.5,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2, 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",Primary BCG PDF; 2017 column reads 0.4. BCG: 'In 2022 AuM grew more rapidly in the UAE than in any other booking center',20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2023,US$tn,0.6,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF; UAE had the highest percentage growth of any centre in 2023. Seventh-largest booking centre,20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2024,US$tn,0.7,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; +11.1% and +US$65bn. Exhibit rounds to 0.1tn so the true level sits nearer 0.65 — see the 2025 row for BCG's own $bn-precision figure,20260725-001 PxClOpus4.8
UAE,CrossBorderWealth,2025,US$tn,0.721,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, booking-centre narrative (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)","Primary BCG PDF: 'cross-border wealth increasing by 11.1% to $721 billion in 2025' — the only hub-year BCG prints to $bn precision, so it is carried as 0.721 rather than rounded to 0.7. Included as a flow competitor only; UAE is outside the bank peer set",20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2020,US$tn,n/r,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025 (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)","n/r — BCG prints a 6.3% four-year average for 2020-2024 but no 2020 total; back-solving it would be a self-computed derivation, which this SOP forbids",20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2021,US$tn,n/r,"BCG Global Wealth Report 2022, Jul 2022 — no global cross-border total retrieved (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)",n/r — vintage reports hub levels only in the material retrieved this run,20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2022,US$tn,n/r,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2 (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",n/r — Exhibit 2 prints the top-10 hub levels but no world total row,20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2023,US$tn,13.2,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 'Total' row, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF. Kept as a separate measure so it does not enter the per-hub share grid; use as the share denominator,20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2024,US$tn,14.4,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 'Total' row, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF: 'cross-border wealth grew by 8.7% in 2024 reaching $14.4 trillion' — a marked acceleration on the prior four-year average of 6.3%,20260725-001 PxClOpus4.8
Global,CrossBorderWealthTotal,2025,US$tn,15.7,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, Exhibit 2 and narrative (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)",Primary BCG PDF: 'Cross-border wealth rose 8.4% to $15.7 trillion in 2025'. Top ten booking centres took almost 90% of new flows and hold over 80% of existing stock,20260725-001 PxClOpus4.8
Singapore,TotalAUM,2020,S$bn,4654,"MAS Singapore Asset Management Survey 2023, Chart 'AUM (S$ billion)' (mas.gov.sg/-/media/mas/news-and-publications/surveys/asset-management/singapore-asset-management-survey-2023.pdf)","Tier-1 regulator series, reported in SGD and carried in SGD — not FX-converted, per the repo currency principle. Different basis from CrossBorderWealth (total industry AUM, not cross-border private wealth): never compare across the two measures",20260725-001 PxClOpus4.8
Singapore,TotalAUM,2021,S$bn,5415,"MAS Singapore Asset Management Survey 2023, Chart 'AUM (S$ billion)' (mas.gov.sg/-/media/mas/news-and-publications/surveys/asset-management/singapore-asset-management-survey-2023.pdf)",Tier-1 MAS survey; SGD as reported,20260725-001 PxClOpus4.8
Singapore,TotalAUM,2022,S$bn,4909,"MAS Singapore Asset Management Survey 2023, Chart 'AUM (S$ billion)' (mas.gov.sg/-/media/mas/news-and-publications/surveys/asset-management/singapore-asset-management-survey-2023.pdf)",Tier-1 MAS survey; SGD as reported. 2022 fell on market performance,20260725-001 PxClOpus4.8
Singapore,TotalAUM,2023,S$bn,5407,"MAS Singapore Asset Management Survey 2023 (mas.gov.sg/-/media/mas/news-and-publications/surveys/asset-management/singapore-asset-management-survey-2023.pdf)",Tier-1 MAS survey: 'Singapore's AUM grew by 10% to S$5.4 trillion (or US$4.1 trillion)'. MAS prints its own USD equivalent; not restated here,20260725-001 PxClOpus4.8
Singapore,TotalAUM,2024,S$bn,6067,"MAS Singapore Asset Management Survey 2024 (mas.gov.sg/-/media/mas-media-library/publications/singapore-asset-management-survey/asset-management-survey-report-2024.pdf)",Tier-1 MAS survey: 'Singapore's AUM grew by 12% to S$6.07 trillion (or US$4.46 trillion)'. 77% of AUM sourced from outside Singapore,20260725-001 PxClOpus4.8
Singapore,TotalAUM,2025,S$bn,n/r,MAS Singapore Asset Management Survey publication index (mas.gov.sg/publications/singapore-asset-management-survey),"n/r — latest published vintage as at 25 Jul 2026 is the 2024 survey; the FY2025 survey is not yet out. Not a data gap in the source, a vintage gap",20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2020,HK$bn,34931,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of the asset and wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)","Tier-1 regulator series, reported in HKD and carried in HKD — not FX-converted. Bar-order assignment verified against the survey's own +13% 2024 callout and against the 2025 survey's reference to 2021 as the prior peak",20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2021,HK$bn,35546,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of the asset and wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC survey; the 2025 survey confirms this year as the previous peak at HK$35.5tn,20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2022,HK$bn,30541,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of the asset and wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC survey; sharp 2022 drawdown,20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2023,HK$bn,31193,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of the asset and wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC survey,20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2024,HK$bn,35142,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025 (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC survey: 'HK$35142 billion (US$4526 billion) as of 31 December 2024 representing a 13% year-on-year increase'. Assets from non-HK investors were 63% of the total,20260725-001 PxClOpus4.8
Hong Kong,TotalAUM,2025,HK$bn,42200,"SFC Asset and Wealth Management Activities Survey 2025, published 3 Jul 2026 (sfc.hk press release; summarised at hubbis.com/news/hong-kong-s-aum-grew-20-to-a-record-high-sfc-s-2025-survey-on-asset-and-wealth-management)","Tier-1 SFC figure retrieved through a secondary summary of the SFC release: total AUM +20% to HK$42.2tn (US$5.4tn), a record. Value carried at the 1-decimal-trillion precision the release gives",20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2020,CHF bn,n/r,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)",n/r — the 2025 barometer's long-run narrative prints 2014 2021 2022 and 2024 levels but not 2020; earlier barometer vintages not retrieved this run,20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2021,CHF bn,8833.2,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)","Tier-1 industry-body series, reported in CHF and carried in CHF — not FX-converted. Total AUM at banks in Switzerland, domestic plus foreign customers",20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2022,CHF bn,7846.8,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)",Tier-1 SBA series; 2022 setback on negative market performance,20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2023,CHF bn,n/r,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)",n/r — the barometer describes 2023 only qualitatively ('half of this loss was recouped') without printing the level in the section retrieved,20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2024,CHF bn,9284.0,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)","Tier-1 SBA series: '+10.6% year-on-year in 2024 to CHF 9284.0 bn', an all-time high. Foreign-domiciled customers were 45.5% of the total, down from 51.1% in 2014",20260725-001 PxClOpus4.8
Switzerland,TotalAUM,2025,CHF bn,n/r,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)","n/r — full-year 2025 not yet published; the 2025 barometer gives only a part-year reading (CHF 9240 bn, -0.6%, in the first months of 2025). Vintage gap, not a data gap",20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2020,HK$bn,11316,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of private banking and private wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)","Regulator-family analogue to the BCG series, NOT interchangeable with it: different definition (private banking and PWM business booked in HK, domestic plus non-resident) and different currency. Never place a row of this measure alongside a BCG row in the same comparison",20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2021,HK$bn,10583,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of private banking and private wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC series; bar-order assignment verified against the survey's +15% 2024 callout,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2022,HK$bn,8965,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of private banking and private wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC series,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2023,HK$bn,9022,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025, chart 'AUM of private banking and private wealth management business' (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC series,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2024,HK$bn,10404,"SFC Asset and Wealth Management Activities Survey 2024, Jul 2025 (sfc.hk/-/media/EN/files/COM/Reports-and-surveys/EN_AWMAS-2024.pdf)",Tier-1 SFC survey: private banking and PWM assets '+15% year-on-year to HK$10404 billion' with HK$384bn of net inflows,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderPrivateWealth,2025,HK$bn,12900,"SFC Asset and Wealth Management Activities Survey 2025, published 3 Jul 2026 (sfc.hk press release; summarised at hubbis.com/news/hong-kong-s-aum-grew-20-to-a-record-high-sfc-s-2025-survey-on-asset-and-wealth-management)","Tier-1 SFC figure via secondary summary: private banking and PWM AUM +24% to HK$12.9tn (US$1.7tn). Carried at the release's 1-decimal-trillion precision",20260725-001 PxClOpus4.8
Switzerland,CrossBorderPrivateWealth,2024,CHF bn,2427.0,"Swiss Bankers Association Banking Barometer 2025, 'Assets under management' (publications.swissbanking.ch/banking-barometer-2025/assets-under-management)","Tier-1 SBA: 'Switzerland was still the world leader in cross-border wealth management for private clients in 2024, with holdings up 10.0% year-on-year (on a currency-adjusted basis) at CHF 2427.0 bn'. CHF as reported. Conceptually the closest regulator analogue to BCG's Swiss 2.7 US$tn for 2024, but a different family — do not mix in one comparison row",20260725-001 PxClOpus4.8
